Date,Open,High,Low,Close,Adj_Close,Volume,Coin_name
2022-02-15,9.91,9.91,9.91,9.91,9.91,2500,Tron
2022-02-16,9.9,9.91,9.9,9.9,9.9,369000,Tron
2022-02-17,9.92,9.92,9.9,9.9,9.9,3700,Tron
2022-02-18,9.95,9.95,9.95,9.95,9.95,200,Tron
2022-02-22,9.93,9.93,9.93,9.93,9.93,5100,Tron
2022-02-23,9.9,9.9,9.9,9.9,9.9,39400,Tron
2022-02-24,9.9,9.9,9.9,9.9,9.9,45000,Tron
2022-02-25,9.9,9.93,9.9,9.9,9.9,56300,Tron
2022-02-28,9.91,9.91,9.91,9.91,9.91,1500,Tron
2022-03-01,9.91,9.93,9.91,9.92,9.92,7900,Tron
2022-03-02,9.92,9.92,9.92,9.92,9.92,0,Tron
2022-03-03,9.92,9.92,9.92,9.92,9.92,0,Tron
2022-03-04,9.92,9.92,9.92,9.92,9.92,200,Tron
2022-03-07,9.93,9.93,9.91,9.92,9.92,1098400,Tron
2022-03-08,9.915,9.92,9.9,9.91,9.91,395300,Tron
2022-03-09,9.91,9.925,9.9,9.92,9.92,21000,Tron
2022-03-10,9.93,10.08,9.903,9.91,9.91,319200,Tron
2022-03-11,9.91,9.94,9.91,9.92,9.92,209200,Tron
2022-03-14,9.93,9.93,9.92,9.92,9.92,29300,Tron
2022-03-15,9.93,10.33,9.91,9.922,9.922,69000,Tron
2022-03-16,9.93,9.93,9.93,9.93,9.93,19000,Tron
2022-03-17,9.93,9.93,9.91,9.91,9.91,28500,Tron
2022-03-18,9.91,9.91,9.91,9.91,9.91,0,Tron
2022-03-21,9.93,9.93,9.91,9.91,9.91,16000,Tron
2022-03-22,9.94,9.94,9.92,9.92,9.92,3300,Tron
2022-03-23,9.93,9.93,9.93,9.93,9.93,8400,Tron
2022-03-24,9.93,9.93,9.925,9.925,9.925,19400,Tron
2022-03-25,9.93,9.936,9.93,9.936,9.936,5600,Tron
2022-03-28,9.92,9.92,9.92,9.92,9.92,200,Tron
2022-03-29,9.92,9.931,9.92,9.931,9.931,800,Tron
2022-03-30,9.93,9.945,9.93,9.94,9.94,384000,Tron
2022-03-31,9.95,9.98,9.94,9.95,9.95,57500,Tron
2022-04-01,9.96,9.96,9.96,9.96,9.96,300,Tron
2022-04-04,9.96,9.96,9.96,9.96,9.96,0,Tron
2022-04-05,9.96,9.96,9.96,9.96,9.96,0,Tron
2022-04-06,9.95,9.954,9.95,9.954,9.954,800,Tron
2022-04-07,9.955,9.955,9.955,9.955,9.955,500,Tron
2022-04-08,9.955,9.955,9.955,9.955,9.955,0,Tron
2022-04-11,9.955,9.955,9.955,9.955,9.955,0,Tron
2022-04-12,9.97,9.97,9.95,9.95,9.95,1000,Tron
2022-04-13,9.96,9.96,9.955,9.96,9.96,2900,Tron
2022-04-14,9.96,9.96,9.95,9.96,9.96,5700,Tron
2022-04-18,9.96,9.96,9.96,9.96,9.96,25300,Tron
2022-04-19,10,10,9.97,9.97,9.97,800,Tron
2022-04-20,9.96,9.96,9.96,9.96,9.96,200,Tron
2022-04-21,9.97,9.97,9.97,9.97,9.97,500,Tron
2022-04-22,9.96,9.96,9.96,9.96,9.96,200,Tron
2022-04-25,9.96,9.96,9.96,9.96,9.96,32100,Tron
2022-04-26,9.97,9.97,9.97,9.97,9.97,700,Tron
2022-04-27,9.97,9.975,9.97,9.975,9.975,21400,Tron
2022-04-28,9.975,9.975,9.97,9.97,9.97,400,Tron
2022-04-29,9.97,9.97,9.97,9.97,9.97,0,Tron
2022-05-02,10,10,9.97,9.97,9.97,1000,Tron
2022-05-03,9.97,9.97,9.955,9.97,9.97,178400,Tron
2022-05-04,9.96,9.98,9.96,9.97,9.97,235700,Tron
2022-05-05,9.97,9.98,9.97,9.98,9.98,5500,Tron
2022-05-06,9.98,9.98,9.97,9.98,9.98,25600,Tron
2022-05-09,9.98,9.98,9.975,9.98,9.98,1100,Tron
2022-05-10,9.98,10,9.98,9.99,9.99,1700,Tron
2022-05-11,9.98,9.98,9.97,9.97,9.97,65700,Tron
2022-05-12,9.98,9.98,9.965,9.965,9.965,41100,Tron
2022-05-13,9.965,9.965,9.965,9.965,9.965,0,Tron
2022-05-16,9.98,9.98,9.97,9.97,9.97,9900,Tron
2022-05-17,9.97,9.97,9.97,9.97,9.97,4000,Tron
2022-05-18,9.97,9.97,9.97,9.97,9.97,512400,Tron
2022-05-19,9.97,9.97,9.97,9.97,9.97,22200,Tron
2022-05-20,9.97,9.98,9.97,9.97,9.97,11400,Tron
2022-05-23,9.97,9.97,9.97,9.97,9.97,4400,Tron
2022-05-24,9.97,9.97,9.97,9.97,9.97,1100,Tron
2022-05-25,9.98,9.98,9.98,9.98,9.98,100100,Tron
2022-05-26,9.98,9.98,9.98,9.98,9.98,199200,Tron
2022-05-27,9.98,9.98,9.97,9.97,9.97,4100,Tron
2022-05-31,9.98,9.98,9.97,9.97,9.97,106400,Tron
2022-06-01,9.98,9.985,9.98,9.982,9.982,77400,Tron
2022-06-02,9.98,9.98,9.98,9.98,9.98,6600,Tron
2022-06-03,9.98,9.99,9.98,9.98,9.98,170300,Tron
2022-06-06,9.98,9.982,9.97,9.98,9.98,27200,Tron
2022-06-07,9.97,9.98,9.97,9.97,9.97,2100,Tron
2022-06-08,9.99,9.99,9.98,9.98,9.98,378000,Tron
2022-06-09,9.99,9.99,9.99,9.99,9.99,1000,Tron
2022-06-10,9.975,9.98,9.975,9.98,9.98,3300,Tron
2022-06-13,10,10.05,10,10.05,10.05,353500,Tron
2022-06-14,10.06,10.12,10,10.12,10.12,9300,Tron
2022-06-15,10.05,10.05,10,10.03,10.03,7100,Tron
2022-06-16,10.01,10.02,10,10.015,10.015,6900,Tron
2022-06-17,10.02,10.5,10.02,10.5,10.5,23400,Tron
2022-06-21,10.25,10.33,10.01,10.01,10.01,4300,Tron
2022-06-22,10.01,10.01,10.01,10.01,10.01,0,Tron
2022-06-23,10.06,10.19,10,10.03,10.03,282400,Tron
2022-06-24,10.02,10.03,10,10,10,600,Tron
2022-06-27,10,10,10,10,10,0,Tron
2022-06-28,10.035,10.045,10.01,10.045,10.045,3200,Tron
2022-06-29,10.01,10.01,10.01,10.01,10.01,1500,Tron
2022-06-30,10.06,10.06,10.06,10.06,10.06,500,Tron
2022-07-01,10.06,10.06,10.06,10.06,10.06,0,Tron
2022-07-05,10.01,10.01,10.01,10.01,10.01,100,Tron
2022-07-06,10.01,10.025,10.01,10.01,10.01,3100,Tron
2022-07-07,10.01,10.01,10.01,10.01,10.01,0,Tron
2022-07-08,10.01,10.01,10.01,10.01,10.01,0,Tron
2022-07-11,10.03,10.03,10.03,10.03,10.03,200,Tron
2022-07-12,10.04,10.04,10.04,10.04,10.04,33700,Tron
2022-07-13,10.04,10.04,10.04,10.04,10.04,1100,Tron
2022-07-14,10.08,10.08,10.08,10.08,10.08,1600,Tron
2022-07-15,10.08,10.08,10.08,10.08,10.08,0,Tron
2022-07-18,10.08,10.08,10.08,10.08,10.08,0,Tron
2022-07-19,10.08,10.08,10.08,10.08,10.08,0,Tron
2022-07-20,10.08,10.08,10.08,10.08,10.08,0,Tron
2022-07-21,10.08,10.08,10.08,10.08,10.08,0,Tron
2022-07-22,10.08,10.08,10.04,10.04,10.04,1700,Tron
2022-07-25,10.22,10.29,10.22,10.29,10.29,300,Tron
2022-07-26,10.29,10.29,10.29,10.29,10.29,0,Tron
2022-07-27,10.08,10.12,10.07,10.07,10.07,1800,Tron
2022-07-28,10.07,10.07,10.07,10.07,10.07,75100,Tron
2022-07-29,10.07,10.07,10.07,10.07,10.07,500,Tron
2022-08-01,10.07,10.07,10.07,10.07,10.07,0,Tron
2022-08-02,10.07,10.07,10.07,10.07,10.07,0,Tron
2022-08-03,10.07,10.07,10.07,10.07,10.07,0,Tron
2022-08-04,10.07,10.07,10.07,10.07,10.07,0,Tron
2022-08-05,10.07,10.07,10.07,10.07,10.07,0,Tron
2022-08-08,10.07,10.07,10.07,10.07,10.07,0,Tron
