Date,Open,High,Low,Close,Adj_Close,Volume,Coin_name
2021-02-12,0,0,0,0,0,388735,Shiba_Inu
2021-02-13,0,0,0,0,0,249169,Shiba_Inu
2021-02-14,0,0,0,0,0,355425,Shiba_Inu
2021-02-15,0,0,0,0,0,186938,Shiba_Inu
2021-02-16,0,0,0,0,0,253570,Shiba_Inu
2021-02-17,0,0,0,0,0,134903,Shiba_Inu
2021-02-18,0,0,0,0,0,85076,Shiba_Inu
2021-02-19,0,0,0,0,0,105110,Shiba_Inu
2021-02-20,0,0,0,0,0,259931,Shiba_Inu
2021-02-21,0,0,0,0,0,124684,Shiba_Inu
2021-02-22,0,0,0,0,0,102994,Shiba_Inu
2021-02-23,0,0,0,0,0,34174,Shiba_Inu
2021-02-24,0,0,0,0,0,54984,Shiba_Inu
2021-02-25,0,0,0,0,0,31669,Shiba_Inu
2021-02-26,0,0,0,0,0,147256,Shiba_Inu
2021-02-27,0,0,0,0,0,481991,Shiba_Inu
2021-02-28,0,0,0,0,0,3832192,Shiba_Inu
2021-03-01,0,0,0,0,0,991095,Shiba_Inu
2021-03-02,0,0,0,0,0,528326,Shiba_Inu
2021-03-03,0,0,0,0,0,1427316,Shiba_Inu
2021-03-04,0,0,0,0,0,3502637,Shiba_Inu
2021-03-05,0,0,0,0,0,2107990,Shiba_Inu
2021-03-06,0,0,0,0,0,479871,Shiba_Inu
2021-03-07,0,0,0,0,0,607173,Shiba_Inu
2021-03-08,0,0,0,0,0,545662,Shiba_Inu
2021-03-09,0,0,0,0,0,725264,Shiba_Inu
2021-03-10,0,0,0,0,0,310950,Shiba_Inu
2021-03-11,0,0,0,0,0,377979,Shiba_Inu
2021-03-12,0,0,0,0,0,475257,Shiba_Inu
2021-03-13,0,0,0,0,0,1283595,Shiba_Inu
2021-03-14,0,0,0,0,0,226958,Shiba_Inu
2021-03-15,0,0,0,0,0,11569431,Shiba_Inu
2021-03-16,0,0,0,0,0,5609681,Shiba_Inu
2021-03-17,0,0,0,0,0,3220467,Shiba_Inu
2021-03-18,0,0,0,0,0,1423541,Shiba_Inu
2021-03-19,0,0,0,0,0,2396974,Shiba_Inu
